train_loss,train_acc,val_loss,val_acc
0.35872779940148347,0.9190004770992366,0.17816421389579773,0.9519230769230769
0.08972325642195082,0.9737595419847328,0.06911592930555344,0.9826923076923076
0.05189442617342388,0.9870586832061069,0.06095562130212784,0.984375
0.041299054936776006,0.9901001908396947,0.05259818583726883,0.9875
0.034251221025074684,0.9919489503816794,0.052207522094249725,0.9877403846153846
0.029698553699502396,0.9927242366412213,0.049938663840293884,0.9884615384615385
0.028264216732105794,0.9934995229007634,0.05304133892059326,0.9855769230769231
0.023626900920537763,0.9944537213740458,0.046667229384183884,0.990625
0.021364035554837173,0.9954675572519084,0.047134879976511,0.990625
0.019144764541624334,0.9956464694656488,0.043096523731946945,0.9901442307692307
0.017360776644386705,0.9963621183206107,0.04422337934374809,0.990625
0.01597120754357662,0.996481393129771,0.04467755928635597,0.9896634615384615
0.014752393338763962,0.9967795801526718,0.04411099851131439,0.9911057692307692
0.012845132856843957,0.9973163167938931,0.05265909060835838,0.9903846153846154
0.011685348903442172,0.9973759541984732,0.04797649383544922,0.990625
