train_loss,train_acc,val_loss,val_acc
0.5526834533938879,0.7814258087201125,0.49469050765037537,0.8267755681818182
0.3009178515853761,0.8711688349742147,0.2359853982925415,0.9012784090909092
0.20140021398097654,0.9181683661509611,0.19345301389694214,0.9266335227272726
0.1638877896379821,0.9388112400375058,0.16957847774028778,0.9360085227272726
0.1426531574865685,0.9489715189873418,0.1561889350414276,0.9422585227272726
0.12595120807991753,0.9581941514299109,0.15433351695537567,0.9446022727272727
0.10985147891731202,0.9639299109235818,0.14480368793010712,0.9492897727272727
0.10777021461178231,0.9649188349742147,0.13493259251117706,0.9536221590909092
0.09362246298903151,0.9688745311767464,0.13036203384399414,0.9539772727272726
0.08802908642476873,0.9705300632911392,0.1374213844537735,0.9555397727272726
0.08008693225823249,0.9732257969995312,0.14190004765987396,0.9535511363636363
0.07667356603366288,0.9740901898734177,0.13686683773994446,0.9574573863636363
0.06773657249168882,0.9771814932020628,0.13212966918945312,0.9566761363636364
0.06731982676524527,0.9780458860759493,0.13271841406822205,0.9613636363636363
0.06480034854546,0.9785659868729489,0.1417476385831833,0.9543323863636364
